row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
3,504895e6e4b0d6e661d845e4,13177,Fantasia Palace,51.518111,-0.1714,7.2,30,25,12
3,593ea3a4b2958f0371242d3d,16032,Floating Pocket Park,51.518724,-0.171028,7.3,10,46,1
3,4bf96cce8d30d13a722d0218,13302,Queen of Sheba,51.517499,-0.171772,7.4,155,129,48
3,4ec3be39b63468c86d431325,13145,Pret a Manger,51.518854,-0.169392,7.8,112,112,21
3,4b16e8f8f964a52055bf23e3,13003,The Frontline Club,51.516976,-0.172547,8.3,110,72,20
3,4ac518d5f964a520d1a720e3,13099,Satay House,51.517655,-0.16957,7.5,147,91,37
3,4cb186501463a1431f47a6a9,19003,The Paddington Basin Marina Co,51.518426,-0.172766,7.3,48,189,6
3,59550f156bd36b379ee31964,13035,Java U,51.518855,-0.1682,7.6,19,40,5
3,57a476c0498e1f929fe58325,13003,The Heron,51.517024,-0.16803,7.9,23,11,3
3,4aef3425f964a5208bd621e3,13006,Fountains Abbey,51.516902,-0.172958,7.1,160,201,30
3,4c29d970ed0ac9b6245262aa,10004,Lisson Gallery,51.521068,-0.168322,8.0,43,118,5
3,570a1ff2498e59c7204d15bf,13035,Mihbaj Cafe,51.516075,-0.174468,8.6,228,113,73
3,577397e5cd1093a0bb48e716,13006,Heist Bank,51.518951,-0.17776,8.9,119,73,27
3,62eaac9275715b134e84e60f,13380,The Hijazi Corner,51.518407,-0.167373,7.4,7,23,1
3,4ca5bfe114c337048b8bb83b,13145,Chicken Cottage,51.516435,-0.1737,7.4,23,17,8
3,4acda689f964a52081cc20e3,13032,Caffè Nero,51.517646,-0.166278,7.9,81,64,11
3,5b33c87c32b61d002c2ad8dd,11148,Simply Food,51.518753,-0.175041,7.8,8,9,1
3,4c85e295d34ca143a7374b80,16041,Paddington Green,51.521397,-0.176367,7.8,26,28,2
3,500012b5e4b064f07ddb5abb,13018,Lord Wargrave,51.518117,-0.165774,8.8,170,60,34
4,4b868071f964a520e38c31e3,13276,Dinings,51.519877,-0.164831,8.8,367,211,100
4,53eba251498ebe3ddeb8cb3b,13018,The Royal Oak,51.520094,-0.162501,8.5,133,30,18
4,5700251e498e5e2c30508492,13336,The Harcourt,51.51975,-0.164084,7.9,39,18,6
4,4f35712de4b064bef38d8eca,13236,Briciole,51.519164,-0.16389,8.4,266,51,62
4,4ac518bcf964a52068a220e3,13000,Twotwentytwo,51.521558,-0.162436,8.3,40,37,11
4,5bba13043c858d002ceac282,13035,Boxcar Baker and Deli,51.519543,-0.161553,8.5,58,97,14
4,4ac518c0f964a52098a320e3,13036,"Winter garden restaurant, the landmark hotel, Marylebone, London",51.521805,-0.162927,8.4,94,147,17
4,4af42f11f964a52075f021e3,13003,The Larrik,51.518739,-0.164881,7.9,153,69,34
4,4b127339f964a520f28923e3,17068,Totally Swedish,51.51962,-0.161048,7.7,21,9,3
4,4ae0b29cf964a520bb8121e3,13352,Two Point,51.519685,-0.160826,7.9,61,23,15
4,500012b5e4b064f07ddb5abb,13018,Lord Wargrave,51.518117,-0.165774,8.8,170,60,34
4,4c14c1d17f7f2d7f5b56e168,16000,Bryanston Square,51.518678,-0.161529,8.0,12,24,2
4,4b824a16f964a52026cf30e3,17069,Waitrose,51.517565,-0.165686,8.7,217,67,19
4,4b5b497df964a520b7f128e3,13352,Monkey & Me,51.519704,-0.159257,7.7,110,29,21
